title,score,scored_by,rank,popularity,members,favorites,episodes,type,source,status,year,season,rating,duration,genres,themes,demographics,studios,producers,licensors
Kaguya-sama: Love Is War - Stairway to Adulthood,8.52,53561,151.0,2242,110961,344,1.0,TV Special,Manga,Finished Airing,,,PG-13 - Teens 13 or older,52 min,"Comedy, Romance",School,Seinen,A-1 Pictures,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",
Solo Leveling Season 2: Arise from the Shadow,8.52,513805,152.0,290,800928,11555,13.0,TV,Web manga,Finished Airing,2025.0,winter,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure, Fantasy","Adult Cast, Urban Fantasy",,A-1 Pictures,"Aniplex, Crunchyroll, Sonilude, Netmarble, Kakao piccoma, D&C Media",
Samurai Champloo,8.52,689469,153.0,112,1358473,41436,26.0,TV,Original,Finished Airing,2004.0,spring,R - 17+ (violence & profanity),24 min per ep,"Action, Adventure, Comedy","Historical, Samurai",,Manglobe,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Funimation, Geneon Entertainment USA"
Revue Starlight: The Movie,8.52,11319,154.0,4956,26378,1075,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,2 hr,Drama,"Music, Performing Arts, School",,Kinema Citrus,Bushiroad,Sentai Filmworks
Smoking Behind the Supermarket with You,8.52,26325,155.0,1969,132816,917,,TV,Manga,Currently Airing,2026.0,summer,PG-13 - Teens 13 or older,Unknown,Romance,"Adult Cast, Love Status Quo",Seinen,Asahi Production,"Nichion, Bit grooove promotion",
Bakuman. Season 3,8.51,204097,156.0,799,349106,2942,25.0,TV,Manga,Finished Airing,2012.0,fall,PG-13 - Teens 13 or older,24 min per ep,"Comedy, Drama, Romance",Otaku Culture,Shounen,J.C.Staff,"NHK, Shueisha",
Dr. Stone: Science Future Part 2,8.51,121877,157.0,1196,238538,950,12.0,TV,Manga,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,24 min per ep,"Adventure, Comedy",,Shounen,TMS Entertainment,"TOHO animation, Shueisha",
Gintama. Slip Arc,8.51,113276,158.0,1270,223626,961,13.0,TV,Manga,Finished Airing,2017.0,fall,PG-13 - Teens 13 or older,23 min per ep,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu, Shueisha",
JoJo's Bizarre Adventure: Diamond Is Unbreakable,8.51,886640,159.0,129,1282446,44141,39.0,TV,Manga,Finished Airing,2016.0,spring,R - 17+ (violence & profanity),23 min per ep,"Action, Adventure",Super Power,Shounen,David Production,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media
JoJo's Bizarre Adventure: Stone Ocean Part 3,8.51,207824,160.0,902,316616,3649,14.0,ONA,Manga,Finished Airing,,,R - 17+ (violence & profanity),24 min per ep,"Action, Adventure",Super Power,Shounen,David Production,"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.51,109685,161.0,1175,243152,3326,26.0,TV,Manga,Finished Airing,2004.0,winter,R - 17+ (violence & profanity),25 min per ep,"Mystery, Sci-Fi","Adult Cast, Detective, Mecha, Military",Seinen,Production I.G,"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network, Fonishia","Bandai Entertainment, Manga Entertainment"
Puella Magi Madoka Magica the Movie: Rebellion,8.51,251493,162.0,640,424386,9826,1.0,Movie,Original,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 56 min,"Award Winning, Drama, Suspense","Mahou Shoujo, Psychological",,Shaft,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha, Hakuhodo DY Media Partners",Aniplex of America
[Oshi No Ko] Season 2,8.51,267498,163.0,486,529154,6096,13.0,TV,Manga,Finished Airing,2024.0,summer,PG-13 - Teens 13 or older,25 min per ep,Drama,"Reincarnation, Showbiz",Seinen,Doga Kobo,"Delfi Sound, Shueisha, CyberAgent, Kadokawa",Sentai Filmworks
given The Movie: To the Sea,8.5,11094,164.0,4509,32837,194,1.0,Movie,Manga,Finished Airing,,,PG-13 - Teens 13 or older,1 hr 20 min,"Boys Love, Drama",Music,,Lerche,"Aniplex, Dentsu, Studio Hibari, Movic, Fuji TV, Shinshokan, Blue Lynx",
Grand Blue Dreaming Season 2,8.5,93688,165.0,1371,206494,1363,12.0,TV,Manga,Finished Airing,2025.0,summer,PG-13 - Teens 13 or older,24 min per ep,Comedy,"Adult Cast, Gag Humor",Seinen,"Zero-G, Liber","Mainichi Broadcasting System, Kodansha, NBCUniversal Entertainment Japan, Avex Pictures, JR East Marketing & Communications, Saber Links, qooop",
Jujutsu Kaisen,8.5,2021940,166.0,11,3067369,96727,24.0,TV,Manga,Finished Airing,2020.0,fall,R - 17+ (violence & profanity),23 min per ep,"Action, Award Winning, Supernatural",School,Shounen,MAPPA,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",VIZ Media
The Garden of Sinners Chapter 5: Paradox Spiral,8.5,140179,167.0,1117,254824,4719,1.0,Movie,Light novel,Finished Airing,,,R - 17+ (violence & profanity),1 hr 54 min,"Action, Drama, Fantasy, Mystery, Romance, Suspense",Urban Fantasy,,ufotable,"Aniplex, Kodansha, Notes",Aniplex of America
A Place Further Than The Universe,8.5,237131,168.0,459,556424,14876,13.0,TV,Original,Finished Airing,2018.0,winter,PG-13 - Teens 13 or older,23 min per ep,"Adventure, Comedy, Drama",CGDCT,,Madhouse,"Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund",Anime Limited
