title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,Music,Namco Bandai Games,Namco Bandai Games,,0.14,,0.14,,,2016-06-16
Rocksmith 2014 Edition Remastered,PS4,Music,Ubisoft,Ubisoft,,0.14,0.11,,,0.03,2016-10-04
Lips: I Love The 80s,X360,Music,Microsoft Game Studios,iNiS,,0.14,,,0.12,0.02,2010-04-02
Disney's Chicken Little,XB,Platform,Buena Vista,Avalanche Software,7.0,0.14,0.1,,0.03,0.0,2005-10-18
Secret Agent Clank,PSP,Platform,Sony Computer Entertainment,High Impact Games,7.0,0.14,0.04,0.04,0.04,0.02,2008-06-17
Mega Man Powered Up,PSP,Platform,Capcom,Capcom,8.7,0.14,0.12,,0.01,0.02,2006-03-14
Rayman 3,GBA,Platform,Ubisoft,Ubisoft,7.9,0.14,0.1,,0.04,0.0,2003-03-02
Ratatouille,GC,Platform,THQ,Asobo Studio,6.1,0.14,0.11,,0.03,0.0,2007-06-26
Casper: Spirit Dimensions,PS2,Platform,TDK Mediactive,Lucky Chicken Games,,0.14,0.07,,0.05,0.02,2001-09-30
Klonoa: Empire of Dreams,GBA,Platform,Namco,Namco,8.6,0.14,0.1,,0.04,0.0,2001-09-11
Zapper: One Wicked Cricket!,GBA,Platform,Infogrames,Blitz Games,,0.14,0.1,,0.04,0.0,2002-11-05
OutRun 2,XB,Racing,Microsoft,Sumo Digital,,0.14,0.11,,0.03,0.01,2004-10-25
Mx vs. ATV Reflex,DS,Racing,THQ,Rainbow Studios,,0.14,0.13,,0.0,0.01,2009-12-01
¡Shin Chan Flipa en colores!,DS,Platform,505 Games,Inti Creates,,0.14,,0.14,,,2007-11-16
The Bombing Islands,PS,Platform,Kemco,Kemco,,0.14,0.08,,0.05,0.01,2001-04-26
Moshi Monsters: Katsuma Unleashed,DS,Platform,Activision,"Black Lantern Studios, Inc.",,0.14,,,0.13,0.01,2013-11-05
Mega Man X Legacy Collection 1+2,PS4,Platform,Capcom Entertainment,Digital Eclipse Software,,0.14,0.07,0.05,,0.02,2018-07-24
