pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,sy_dist
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,11.6,92.0,,3.6,,,,0.54,Microlensing,2017.0,3900.0
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,13.7,346.43296363,,4.27,,,,0.69,Microlensing,2021.0,5910.0
Kepler-853 b,Kepler-853,1.69,,7.16892463,0.079,1187.0,6350.0,1.55,1.3,Transit,2016.0,568.676
Kepler-883 b,Kepler-883,1.78,,12.98495573,0.10288,818.0,6116.0,1.09,1.06,Transit,2016.0,627.455
HD 28185 b,HD 28185,12.8,,385.92,1.034,,5602.0,1.048,0.974,Radial Velocity,2001.0,39.3809
Kepler-54 b,Kepler-54,2.1,0.98,8.0109434,0.0619,453.0,3705.0,0.5,0.51,Transit,2012.0,271.701
Kepler-1631 b,Kepler-1631,1.35,,4.09513932,0.0511,1122.0,5679.0,0.95,0.97,Transit,2016.0,1305.99
Kepler-155 b,Kepler-155,2.09,,5.931194,0.056,614.0,4508.0,0.62,0.635,Transit,2014.0,293.499
Kepler-100 c,Kepler-100,2.2,7.05,12.8159,0.11061,939.0,5825.0,1.49,1.08,Transit,2014.0,304.645
K2-377 b,K2-377,1.693,,12.832235,,,4200.0,0.691,0.821,Transit,2022.0,195.149
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,10.5,77.867959715,,1.449,,,,0.193,Microlensing,2021.0,6483.0
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,1.94,4.43,,1.18,,,,0.234,Microlensing,2018.0,860.0
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,13.7,368.68095212,,1.85,,,,0.34,Microlensing,2023.0,5910.0
Kepler-877 b,Kepler-877,2.12,,18.45847097,0.1301,632.0,5261.0,0.81,0.85,Transit,2016.0,602.176
Kepler-1730 b,Kepler-1730,4.48524519,,13.81019974,0.1131,833.0,5942.0,1.142,1.009,Transit,2021.0,1427.08
Kepler-1639 b,Kepler-1639,2.58,,9.878482,0.0932,1003.0,6150.0,1.18,1.12,Transit,2016.0,1031.31
Kepler-559 b,Kepler-559,3.61,,17.58752333,0.1277,706.0,5630.0,0.95,0.96,Transit,2016.0,776.708
Kepler-121 b,Kepler-121,2.34,,3.177422,0.039,997.0,5311.0,0.701,0.859,Transit,2014.0,510.523
Kepler-55 d,Kepler-55,1.59,,2.211099,0.029,931.0,4503.0,0.619,0.631,Transit,2014.0,578.796
Kepler-82 c,Kepler-82,5.34,13.9,51.54,0.2626,450.0,5401.0,0.898,0.91,Transit,2012.0,904.326
Kepler-561 c,Kepler-561,2.68,,5.350161983,0.05947,989.0,5646.0,0.94,0.96,Transit,2016.0,621.378
Kepler-172 c,Kepler-172,2.86,,6.388996,0.068,970.0,5526.0,1.085,1.081,Transit,2014.0,828.592
